user,item,rating
Пользователь_1,Ноутбук,3.9
Пользователь_1,Наушники,4.7
Пользователь_1,Клавиатура,4.6
Пользователь_1,USB-хаб,5.0
Пользователь_1,Кроссовки,1.8
Пользователь_1,Гантели,1.8
Пользователь_1,Коврик,1.1
Пользователь_1,Мяч,1.7
Пользователь_1,Фитнес-браслет,1.5
Пользователь_1,Скакалка,1.3
Пользователь_1,Краски,3.3
Пользователь_1,Альбом,2.2
Пользователь_1,Карандаши,1.7
Пользователь_1,Глина,2.5
Пользователь_1,Холст,1.5
Пользователь_1,Кисти,1.9
Пользователь_2,Ноутбук,4.4
Пользователь_2,Наушники,4.7
Пользователь_2,Клавиатура,5.0
Пользователь_2,Монитор,5.0
Пользователь_2,Гантели,1.5
Пользователь_2,Коврик,1.2
Пользователь_2,Фитнес-браслет,2.2
Пользователь_2,Скакалка,1.1
Пользователь_2,Краски,2.3
Пользователь_2,Глина,2.4
Пользователь_2,Холст,1.2
Пользователь_2,Кисти,2.5
Пользователь_3,Ноутбук,5.0
Пользователь_3,Наушники,4.1
Пользователь_3,Монитор,4.7
Пользователь_3,Веб-камера,4.2
Пользователь_3,Кроссовки,1.0
Пользователь_3,Гантели,2.4
Пользователь_3,Коврик,2.0
Пользователь_3,Мяч,1.9
Пользователь_3,Фитнес-браслет,1.9
Пользователь_3,Скакалка,2.2
Пользователь_3,Краски,1.9
Пользователь_3,Альбом,1.8
Пользователь_3,Холст,2.1
Пользователь_3,Кисти,2.2
Пользователь_4,Наушники,4.1
Пользователь_4,Клавиатура,4.3
Пользователь_4,Монитор,4.6
Пользователь_4,USB-хаб,4.6
Пользователь_4,Веб-камера,3.8
Пользователь_4,SSD,4.3
Пользователь_4,Кроссовки,1.9
Пользователь_4,Гантели,2.2
Пользователь_4,Мяч,2.0
Пользователь_4,Фитнес-браслет,1.2
Пользователь_4,Скакалка,2.1
Пользователь_4,Бутылка,1.8
Пользователь_4,Краски,2.2
Пользователь_4,Альбом,1.9
Пользователь_4,Карандаши,2.2
Пользователь_4,Глина,2.0
Пользователь_4,Холст,1.6
Пользователь_5,Ноутбук,4.9
Пользователь_5,Наушники,4.8
Пользователь_5,Клавиатура,5.0
Пользователь_5,USB-хаб,5.0
Пользователь_5,Веб-камера,4.9
Пользователь_5,SSD,4.8
Пользователь_5,Кроссовки,1.4
Пользователь_5,Гантели,2.3
Пользователь_5,Коврик,1.9
Пользователь_5,Мяч,1.8
