text,label
"Поздравляем! Вы выиграли бесплатный билет на финал кубка!",спам
"ПОБЕДИТЕЛЬ! Как ценный клиент вы получаете приз!",спам
"Вы выиграли подарочную карту на 10000 рублей! Звоните!",спам
"СРОЧНО! Вы получили бесплатное членство на неделю",спам
"Выиграйте новый iPhone! Нажмите для получения",спам
"БЕСПЛАТНО! Участвуйте и выигрывайте большие призы!",спам
"Получите бесплатный отпуск прямо сейчас!",спам
"Вы отобраны для денежного приза! Ответьте ДА",спам
"Специальное предложение! Два по цене одного!",спам
"Действуйте сейчас! Ограниченное предложение!",спам
"Вы победитель! Заберите приз немедленно!",спам
"Бесплатный рингтон! Отправьте СМС для скачивания!",спам
"Выигрывайте деньги каждую неделю! Регистрируйтесь!",спам
"ПОЗДРАВЛЯЕМ! Эксклюзивная сделка только для вас!",спам
"Бесплатная проверка кредитной истории!",спам
"Удвойте деньги! Гарантированный доход!",спам
"Бесплатный вход! Выиграйте поездку на Бали!",спам
"Денежный приз ждёт вас! Успейте до полуночи!",спам
"Скидка 90% на всё! Только сейчас!",спам
"VIP-доступ бесплатно для первых 100 человек!",спам
"СРОЧНО: на ваш счёт зачислены средства. Подтвердите.",спам
"Зарабатывайте из дома! Опыт не нужен!",спам
"Розыгрыш призов! Выиграйте автомобиль!",спам
"Последний шанс! Скидка 80%! Не пропустите!",спам
"Бесплатный бонус при регистрации в казино!",спам
"Получите 5000 рублей за прохождение опроса!",спам
"Бесплатная пробная подписка! Без привязки карты!",спам
"Вам одобрен кредит! Оформите заявку!",спам
"Поздравляем! Вы наш миллионный посетитель!",спам
"Выиграйте бесплатный ноутбук! Введите данные!",спам
"Секретная инвестиция! Доход 500% гарантирован!",спам
"Бесплатный Netflix на 6 месяцев! Активируйте!",спам
"Получите бесплатную страховку сегодня!",спам
"ВЫ ВЫИГРАЛИ! Ответьте ДА для получения награды!",спам
"Купите 2 — получите 3 бесплатно! Количество ограничено!",спам
"Ваш кредит одобрен! Заберите деньги!",спам
"Бесплатный вход на эксклюзивное мероприятие!",спам
"Выиграйте поездку в Париж! Участвуйте сегодня!",спам
"МЕГА РАСПРОДАЖА! До 80% скидки!",спам
"Ваш денежный приз готов! Заберите!",спам
"Безлимитный интернет за 299 рублей! Подключайтесь!",спам
"Бесплатные купоны каждый день! Регистрируйтесь!",спам
"ТОРОПИТЕСЬ! Акция заканчивается через 24 часа!",спам
"Разбогатейте быстро! Присоединяйтесь к программе!",спам
"Ваша бесплатная подписка истекает. Продлите!",спам
"Стирайте и выигрывайте! Призы каждый день!",спам
"Бесплатная доставка при заказе от 1000 рублей!",спам
"Закрытая распродажа только для VIP-клиентов!",спам
"Подозрительная активность на счёте. Подтвердите личность.",спам
"Зарабатывайте 50000 рублей в день со смартфона!",спам
"ПОСЛЕДНЕЕ ПРЕДУПРЕЖДЕНИЕ: заберите свой приз!",спам
"Привет, во сколько завтра встречаемся?",не_спам
"Не забудь купить хлеб по дороге домой.",не_спам
"Встреча в 15:00 подтверждена. До встречи.",не_спам
"Спасибо за поздравления с днём рождения!",не_спам
"Опаздываю, буду через 10 минут.",не_спам
"Ты смотрел вчерашнюю игру?",не_спам
"Давай встретимся за кофе на выходных.",не_спам
"У детей спектакль в школе в четверг.",не_спам
"Можешь прислать заметки со встречи?",не_спам
"С годовщиной! Желаю прекрасного дня!",не_спам
"Завтра работаю из дома.",не_спам
"Спасибо за помощь с презентацией!",не_спам
"Как ты себя чувствуешь сегодня?",не_спам
"Не забудь зонт, может быть дождь.",не_спам
"Отличная работа на квартальном отчёте!",не_спам
"Можешь подвезти до аэропорта?",не_спам
"Спасибо за вкусный ужин вчера!",не_спам
"Проверь документ перед встречей, пожалуйста.",не_спам
"Увидимся в спортзале в 19:00?",не_спам
"Мама сказала ужин будет в семь.",не_спам
"Срок сдачи проекта продлён до пятницы.",не_спам
"Можешь полить цветы пока я в отъезде?",не_спам
"С днём рождения! Всего наилучшего!",не_спам
"Давай встретимся в обычном месте.",не_спам
"Погода отличная для пикника в субботу.",не_спам
"Я забыл куртку у тебя, принесёшь?",не_спам
"Обед команды перенесён на четверг.",не_спам
"Ты видел письмо от преподавателя?",не_спам
"Забираю детей из школы в 15:30.",не_спам
"Жду концерт на следующей неделе!",не_спам
"Поможешь с переездом в субботу?",не_спам
"Приём у врача в понедельник в 10:00.",не_спам
"Давай придумаем что-нибудь на выходные.",не_спам
"Посылка пришла, спасибо!",не_спам
"Закончил книгу которую ты советовал. Отличная!",не_спам
"Извини был на встрече, не мог ответить.",не_спам
"Рейс вовремя, прилетаю в 18:00.",не_спам
"Спасибо что присмотрел за собакой!",не_спам
"Детям понравился праздник, спасибо за организацию!",не_спам
"Увидимся завтра в офисе.",не_спам
"Презентация прошла отлично, молодцы!",не_спам
"Удачи на собеседовании завтра!",не_спам
"Не забудь, у нас бронь в ресторане на 19:00.",не_спам
"Долетел нормально, позвоню позже.",не_спам
"Как прошёл экзамен?",не_спам
"Заеду за тобой в 20:00 на кино.",не_спам
"Спасибо за рецепт, попробую вечером.",не_спам
"Завтра совещание в 10:00, не забудь.",не_спам
"Давно не виделись, как дела?",не_спам
"Передай привет семье!",не_спам
"Договорились, созвонимся вечером.",не_спам
